 A ( ADVERB ) 
 A. ( NOUN NOUN_PROPER_SINGULAR ) 
 A1 ( NOUN NOUN_PROPER_SINGULAR ) 
 A2 ( NOUN NOUN_PROPER_SINGULAR ) 
 Abbado ( NOUN NOUN_PROPER_SINGULAR ) 
 Abbas ( NOUN NOUN_PROPER_SINGULAR ) 
 Abc ( NOUN NOUN_PROPER_SINGULAR ) 
 Abete ( NOUN NOUN_PROPER_SINGULAR ) 
 Abi ( NOUN NOUN_PROPER_SINGULAR ) 
 Abruzzo ( NOUN NOUN_PROPER_SINGULAR ) 
 Abu ( NOUN NOUN_PROPER_SINGULAR ) 
 Academy ( NOUN NOUN_PROPER_SINGULAR ) 
 Achille ( NOUN NOUN_PROPER_SINGULAR ) 
 Aci ( NOUN NOUN_PROPER_SINGULAR ) 
 Acli ( NOUN NOUN_PROPER_SINGULAR ) 
 Acquaviva ( NOUN NOUN_PROPER_SINGULAR ) 
 Adamo ( NOUN NOUN_PROPER_SINGULAR ) 
 Adams ( NOUN NOUN_PROPER_SINGULAR ) 
 Addis ( NOUN NOUN_PROPER_SINGULAR ) 
 Adelphi ( NOUN NOUN_PROPER_SINGULAR ) 
 Adige ( NOUN NOUN_PROPER_SINGULAR ) 
 Adolfo ( NOUN NOUN_PROPER_SINGULAR ) 
 Adriana ( NOUN NOUN_PROPER_SINGULAR ) 
 Adriano ( NOUN NOUN_PROPER_SINGULAR ) 
 Adriatico ( NOUN NOUN_PROPER_SINGULAR ) 
 Aeritalia ( NOUN NOUN_PROPER_SINGULAR ) 
 Afghanistan ( NOUN NOUN_PROPER_SINGULAR ) 
 Africa ( NOUN NOUN_PROPER_SINGULAR ) 
 Aga ( NOUN NOUN_PROPER_SINGULAR ) 
 Agassi ( NOUN NOUN_PROPER_SINGULAR ) 
 Agca ( NOUN NOUN_PROPER_SINGULAR ) 
 Agip ( NOUN NOUN_PROPER_SINGULAR ) 
 Agnelli ( NOUN NOUN_PROPER_SINGULAR ) 
 Agnes ( NOUN NOUN_PROPER_SINGULAR ) 
 Agostini ( NOUN NOUN_PROPER_SINGULAR ) 
 Agostino ( NOUN NOUN_PROPER_SINGULAR ) 
 Agricola ( NOUN NOUN_PROPER_SINGULAR ) 
 Agrigento ( NOUN NOUN_PROPER_SINGULAR ) 
 Agusta ( NOUN NOUN_PROPER_SINGULAR ) 
 Ahmed ( NOUN NOUN_PROPER_SINGULAR ) 
 Aida ( NOUN NOUN_PROPER_SINGULAR ) 
 Aidid ( NOUN NOUN_PROPER_SINGULAR ) 
 Aids ( NOUN NOUN_PROPER_SINGULAR ) 
 Air ( NOUN NOUN_PROPER_SINGULAR ) 
 Airbus ( NOUN NOUN_PROPER_SINGULAR ) 
 Aires ( NOUN NOUN_PROPER_SINGULAR ) 
 Airlines ( NOUN NOUN_PROPER_SINGULAR ) 
 Airways ( NOUN NOUN_PROPER_SINGULAR ) 
 Aja ( NOUN NOUN_PROPER_SINGULAR ) 
 Ajax ( NOUN NOUN_PROPER_SINGULAR ) 
 Al ( NOUN NOUN_PROPER_SINGULAR ) 
 Alain ( NOUN NOUN_PROPER_SINGULAR ) 
 Alan ( NOUN NOUN_PROPER_SINGULAR ) 
 Alba ( NOUN NOUN_PROPER_SINGULAR ) 
 Albania ( NOUN NOUN_PROPER_SINGULAR ) 
 Albert ( NOUN NOUN_PROPER_SINGULAR ) 
 Alberti ( NOUN NOUN_PROPER_SINGULAR ) 
 Albertini ( NOUN NOUN_PROPER_SINGULAR ) 
 Alberto ( NOUN NOUN_PROPER_SINGULAR ) 
 Alboreto ( NOUN NOUN_PROPER_SINGULAR ) 
 Albright ( NOUN NOUN_PROPER_SINGULAR ) 
 Alcatel ( NOUN NOUN_PROPER_SINGULAR ) 
 Aldair ( NOUN NOUN_PROPER_SINGULAR ) 
 Aldo ( NOUN NOUN_PROPER_SINGULAR ) 
 Aleksandr ( NOUN NOUN_PROPER_SINGULAR ) 
 Alema ( NOUN NOUN_PROPER_SINGULAR ) 
 Alenia ( NOUN NOUN_PROPER_SINGULAR ) 
 Alesi ( NOUN NOUN_PROPER_SINGULAR ) 
 Alessandra ( NOUN NOUN_PROPER_SINGULAR ) 
 Alessandria ( NOUN NOUN_PROPER_SINGULAR ) 
 Alessandro ( NOUN NOUN_PROPER_SINGULAR ) 
 Alessio ( NOUN NOUN_PROPER_SINGULAR ) 
 Alex ( NOUN NOUN_PROPER_SINGULAR ) 
 Alexander ( NOUN NOUN_PROPER_SINGULAR ) 
 Alfa ( NOUN NOUN_PROPER_SINGULAR ) 
 Alfieri ( NOUN NOUN_PROPER_SINGULAR ) 
 Alfio ( NOUN NOUN_PROPER_SINGULAR ) 
 Alfonso ( NOUN NOUN_PROPER_SINGULAR ) 
 Alfred ( NOUN NOUN_PROPER_SINGULAR ) 
 Alfredo ( NOUN NOUN_PROPER_SINGULAR ) 
 Algeri ( NOUN NOUN_PROPER_SINGULAR ) 
 Algeria ( NOUN NOUN_PROPER_SINGULAR ) 
 Ali ( NOUN NOUN_PROPER_SINGULAR ) 
 Ali' ( NOUN NOUN_PROPER_SINGULAR ) lemma=`Alì` NPR  
 Alice ( NOUN NOUN_PROPER_SINGULAR ) 
 Alitalia ( NOUN NOUN_PROPER_SINGULAR ) 
 Allah ( NOUN NOUN_PROPER_SINGULAR ) 
 Alleanza ( NOUN NOUN_PROPER_SINGULAR ) 
 Allen ( NOUN NOUN_PROPER_SINGULAR ) 
 Allianz ( NOUN NOUN_PROPER_SINGULAR ) 
 Almirante ( NOUN NOUN_PROPER_SINGULAR ) 
 Alpi ( NOUN NOUN_PROPER_SINGULAR ) 
 Altobelli ( NOUN NOUN_PROPER_SINGULAR ) 
 Alvaro ( NOUN NOUN_PROPER_SINGULAR ) 
 Alì ( NOUN NOUN_PROPER_SINGULAR ) 
 Amal ( NOUN NOUN_PROPER_SINGULAR ) 
 Amato ( NOUN NOUN_PROPER_SINGULAR ) 
 Ambra ( NOUN NOUN_PROPER_SINGULAR ) 
 Ambrogio ( NOUN NOUN_PROPER_SINGULAR ) 
 Ambrosiano ( NOUN NOUN_PROPER_SINGULAR ) 
 Ambrosio ( NOUN NOUN_PROPER_SINGULAR ) 
 Ambroveneto ( NOUN NOUN_PROPER_SINGULAR ) 
 Amburgo ( NOUN NOUN_PROPER_SINGULAR ) 
 Amedeo ( NOUN NOUN_PROPER_SINGULAR ) 
 Amef ( NOUN NOUN_PROPER_SINGULAR ) 
 Amelio ( NOUN NOUN_PROPER_SINGULAR ) 
 Amendola ( NOUN NOUN_PROPER_SINGULAR ) 
 America ( NOUN NOUN_PROPER_SINGULAR ) 
 American ( NOUN NOUN_PROPER_SINGULAR ) 
 Amleto ( NOUN NOUN_PROPER_SINGULAR ) 
