 gemir ( VERB_INFINITIVE VERB ) 
 GA ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 GCU ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) lemma=GCU 
 GS ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 GSM ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 GT ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gabino ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gabri ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gabriel ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gabriela ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gaby ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gaithersburg ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Galanes ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Galeno ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gales ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Galicia ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Galileo ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Galindo ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gallego ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gallo ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Galton ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Galván ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gambeta ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
