 # texting interjections
   bfn ~emogoodbye
 lol ~emolaugh
 lolz ~emolaugh
wth ~emomisunderstand
bbfn ~emogoodbye
 <omg ~emosurprise
 <rofl ~emolaugh
 <roflmao ~emolaugh
 <roflol ~emolaugh
 <rotfl ~emolaugh
 <rotflmao ~emolaugh
 <rotflol ~emolaugh
 <ta-ta-for-now ~emogoodbye
 <ta ~emothanks
 <ta_ta ~emogoodbye
 <ta_very_much ~emothanks
 <tnt ~emogoodbye
 <tnx ~emothanks
 <ttfn ~emogoodbye
 <ttyl ~emogoodbye
 <ty ~emothanks
 <tyvm ~emothanks
 <lmao ~emolaugh
 <lmfao ~emolaugh
 <logoff ~emogoodbye
 <logout ~emogoodbye
 <lolwut ~emosurprise
 <lulz> ~emolaugh
 <gtg ~emogoodbye
  <gn ~emogoodbye
 <gnstdltbbb ~emogoodbye
 <l8r ~emogoodbye
 <l8r_l8r ~emogoodbye
 <wtf ~emosurprise
 <zz ~emobored
  <ack ~yes
<cu ~emogoodbye
 <cya ~emogoodbye
 <cyal8r ~emogoodbye
:( ~emosad
 :)   ~emohappy
 :@ ~emosurprise
 :[ ~emosad
 :]  ~emohappy
 :{ ~emosad
 :}   ~emohappy
 # normal interjections
 <not_a_prayer> ~no 
 <top_of_the_morning ~emohello
 <top_of_the_morning_to_you ~emohello
 have_to_quit> ~emogoodbye
 have_to_go> ~emogoodbye
 have_to_stop> ~emogoodbye
 have_to_leave> ~emogoodbye
 wtf ~emomisunderstand
 bla_bla_bla ~emobored
 bla ~emobored
 <oh? why+?
 <never> ~no 
 <no_, ~no 
 <no> ~no 
 <no_- ~no 
 <none> ~no 
  <continue ~yes
 <make_it_so> ~yes
 <do_it> ~yes
 <I_guess_so ~yes
 <no_way> ~no
 <neah ~no
 <that_is_sad ~emosad
 ,_too> ~emomutual
 <...> ~emobored
 <?> ~emomisunderstand
 <a'ight ~yes
 <a'right ~yes
 <aargh ~emopain
 <aarrghh ~emopain
 <abso-fucking-lutely ~yes
 <absolutely ~yes
 <accept> ~yes
 <accepted> ~yes
 <adieu ~emogoodbye
 <adios ~emogoodbye
 <affirmative> ~yes
 <agreed ~yes
 <ah_yes ~yes
 <sorry_to_hear_that ~emosad
 <alas ~emosad
 <all_right ~yes
 <aloha ~emohello
 <alright ~yes
 <always> ~yes
 whoa ~emosurprise
 Holy_smokes ~emosurprise
 <amazing> ~emosurprise
 <another_time> ~emogoodbye
 <apologies> ~emoapology
 <apparently> ~yes
 <approved ~yes
 <are_you_for_real ~emoskeptic
 <are_you_having_me_on ~emoskeptic
 <are_you_joking ~emoskeptic
 <are_you_kidding ~emoskeptic
 <are_you_positive ~emoskeptic
 <are_you_pulling_my_leg ~emoskeptic
 <are_you_serious ~emoskeptic
 <argh ~emopain
 <attaboy ~emohappy
 <attagirl ~emohappy
 <au_revoir ~emogoodbye
 <auf_wiedersehen ~emogoodbye
 <ay ~yes
 <aye ~yes
 <bad_luck> ~emosad
 <bai_bai ~emogoodbye
 <be_my_guest ~yes
 <be_seeing_you ~emogoodbye
 <beats_me ~emoignorance
 <beyond_a_doubt> ~yes
 <blah ~emobored
 <blah_blah_blah ~emobored
 <bleah ~emodisgust
 <bollocks ~no
 <boo-yah ~emohappy
 <boo ~emodisgust
 <bore ~emobored
 <boring ~emobored
 <bravo ~emohappy
 <bummer ~emosad
 <but_a_moment_ago_you_said ~emoprotest
 <but_a_while_ago_you_said ~emoprotest
 <but_earlier_you_said ~emoprotest
 <but_just_a_minute_ago_you_said ~emoprotest
 <but_just_a_moment_ago_you_said ~emoprotest
 <but_just_a_second_ago_you_said ~emoprotest
 <but_no> ~no
 <but_of_course ~yes
 <but_of_course_not ~no
 <but_previously_you_said ~emoprotest
 <but_the_other_day_you_said ~emoprotest
 <but_you_just_said ~emoprotest
 <but_you_said ~emoprotest
 <by_all_means ~yes
 <by_no_means> ~no
 <bye ~emogoodbye
 <bye_bye ~emogoodbye
 <can_not_argue_with_that ~yes
 <catch-you-later ~emogoodbye
 <certainly> ~yes
 <cheerio ~emogoodbye
 <cheers ~emohello
 <chuckle ~emolaugh
 <chuckles ~emolaugh
 <ciao ~emogoodbye
 <come_off_it ~no
 <commiserations> ~emosad
 <completely ~yes
 <conceivably> ~emomaybe
 <condolences> ~emosad
 <confirmed ~yes
 <confused ~emomisunderstand
 <congrats ~emohappy
 <congratudolences ~emohappy
 <congratulations ~emohappy
 <constantly> ~yes
 <correct> ~yes
 <could_be> ~yes
 <could_not_have_said_it_better ~yes
 <crying_real_big_tears ~emosad
 <da ~yes
 <damn ~emosad
 <damn_good ~yes
 <damn_straight ~yes
 <definitely ~yes
 <delighted ~yes
 <did_not_you_say ~emoprotest
 <did_not> ~no
 <disagree ~no
 <ditto> ~emomutual
 <do_not_ask_me> ~emoignorance
 <do_not_be_absurd ~no
 <do_not_be_ridiculous ~no
 <do_not_be_silly ~no
 <do_not_be_stupid ~no
 <do_not_follow_that> ~emomisunderstand
 <do_not_follow_you ~emomisunderstand
 <do_not_get_it ~emomisunderstand
 <do_not_understand ~emomisunderstand
 <does_not_seem_likely> ~no
 <does_not_seem_possible> ~no
 <doubtful> ~no
 <eek ~emosurprise
 <eeugh ~emodisgust
 <eeuh ~emodisgust
 <eew ~emodisgust
 <eeww ~emodisgust
 <eewww ~emodisgust
 <eh ~emomisunderstand
 <eheh ~emolaugh
 <especially ~yes
 <evidently> ~yes
 <ew ~emodisgust
 <eww ~emodisgust
 <ewww ~emodisgust
 <ewwww ~emodisgust
 <ewwwww ~emodisgust
 <exactly ~yes
 <excuse_me ~emoapology
 <explain_yourself ~emomisunderstand
 <extremely> ~yes
 <false> ~no
 <fantastic> ~yes
 <farewell ~emogoodbye
 <fat_chance ~no
 <fine> ~yes
 <for_all_I_know> ~emomaybe
 <for_sure ~yes
 <fortune_does_not_smile_on_that ~no
 <fortune_smiles_on_that ~yes
 <fully ~yes
 <funny> ~emolaugh
 <gee> ~emosurprise
 <geez ~emosurprise
 <generally ~yes
 <get_out> ~no
 <get_out_of_here ~emosurprise
 <get_real> ~no
 <gidday ~emohello
 <go_ahead> ~yes
 <god_bless_you ~emogoodbye
 <good-by ~emogoodbye
 <good-bye ~emogoodbye
 <good_afternoon ~emohello
 <good_day ~emohello
 <good_evening ~emohello
 <good_for_you ~emohappy
 <good_grief ~emosad
 <good_lord ~emosurprise
 <good_morning ~emohello
 <good_night ~emogoodbye
 <good_night_,_sleep_tight_,_do_not_let_the_bed_bugs_bite ~emogoodbye
 <good_to_meet_you ~emohello
 <good_to_see_you_again ~emohello
 <goodnight ~emogoodbye
 <gosh ~emosurprise
 <got_to_go ~emogoodbye
 <got_to_run ~emogoodbye
 <great_scott ~emosurprise
 <greetings ~emohello
 <grin ~emolaugh
 <grins ~emolaugh
 <gross_- ~emodisgust
 <gross_, ~emodisgust
 <gross> ~emodisgust
 <ha-ha-ha ~emolaugh
 <ha-ha ~emolaugh
 <ha ~emolaugh
 <hah ~emolaugh
 <haha ~emolaugh
 <hahaha ~emolaugh
 <hahahaha ~emolaugh
 <hahahahaha ~emolaugh
 <hallo ~emohello
 <hardly> ~no
 <have_a_better_'un ~emogoodbye
 <have_a_good_one ~emogoodbye
 <have_a_good_evening ~emogoodbye
 <have_a_good_weekend ~emogoodbye
 <have_a_great_day> ~emogoodbye
 <have_a_great_evening> ~emogoodbye
 <have_a_great_weekend> ~emogoodbye
 <have_a_nice_day ~emogoodbye
 <have_a_nice_night ~emogoodbye
 <have_to_boogie ~emogoodbye
 <have_to_get_going ~emogoodbye
 <he-he-he ~emolaugh
 <he-he ~emolaugh
 <hee ~emolaugh
 <heh ~emolaugh
 <hehe ~emolaugh
 <heheh ~emolaugh
 <hehehe ~emolaugh
 <heheheh ~emolaugh
 <hehehehe ~emolaugh
 <heheheheh ~emolaugh
 <hehehehehe ~emolaugh
 <heheheheheh ~emolaugh
 <hehehehehehe ~emolaugh
 <heheheheheheh ~emolaugh
 <hehehehehehehe ~emolaugh
 <heheheheheheheh ~emolaugh
 <hehehehehehehehe ~emolaugh
 <heheheheheheheheh ~emolaugh
 <hehehehehehehehehe ~emolaugh
 <heheheheheheheheheh ~emolaugh
 <hehehehehehehehehehe ~emolaugh
 <heheheheheheheheheheh ~emolaugh
 <hehehehehehehehehehehe ~emolaugh
 <heheheheheheheheheheheh ~emolaugh
 <hehehehehehehehehehehehe ~emolaugh
 <heheheheheheheheheheheheh ~emolaugh
 <hell_no ~no
 <hell_yeah ~yes
 <hella ~emohello
 <hello ~emohello
 <hello_and_welcome ~emohello
 <hello_there ~emohello
 <hey ~emohello
 <hey_,_there ~emohello
 <hey_there ~emohello
 <hey_you ~emohello
 <heya ~emohowzit
 <hi ~emohello
 <hi_there ~emohello
 <hi_you_all ~emohello
 <highly_likely> ~yes
 <hip_hip_hooray ~emohappy
 <hiya ~emohello
 <ho-hum ~emobored
 <hola ~emohello
 <hold_on_there ~emoprotest
 <hooray ~emohappy
 <horse_hockey ~no
 <how_are_things> ~emohowzit
 <how_are_you> ~emohowzit
 <how_awful ~emosad
 <how_bizarre ~emosad
 <how_can_you_say ~emoprotest
 <how_do_you_do> ~emohowzit
 <how_is_your_day ~emohowzit
 <how_goes_it ~emohowzit
 <how_goes_things ~emohowzit
 <how_goes> ~emohowzit
 <how_have_you_been> ~emohowzit
 <how_have_you_been_doing> ~emohowzit
 <how_is_by_you ~emohowzit
 <how_is_everything ~emohowzit
 <how_is_it_going ~emohowzit
 <how_is_life ~emohowzit
 <how_is_tricks ~emohowzit
 <how_true> ~yes
 <how_would_I_know_that> ~emoignorance
 <how_would_I_know> ~emoignorance
 <how_you_doing ~emohowzit
 <how_you_feeling ~emohowzit
 <howdy ~emohello
 <huh ~emomisunderstand
 <I_understand> ~yes
 <I_agree ~yes
 <I_also> ~emomutual
 <I_am_afraid_I_disagree_with_you ~no
 <I_am_afraid_I_do_not_agree ~no
 <I_am_afraid_not> ~no
 <I_am_bored_stiff ~emobored
 <I_am_bored_to_death ~emobored
 <I_am_bored_to_tears ~emobored
 <I_am_certain> ~yes
 <I_am_confused ~emomisunderstand
 <I_am_indebted_to_you ~emothanks
 <I_am_late_for ~emogoodbye
 <I_am_leaving> ~emogoodbye
 <I_am_listening> ~yes
 <I_am_most_grateful ~emothanks
 <I_am_not_sure_I_agree ~no
 <I_am_not_sure_that_I ~no
 <I_am_pleased_to> ~yes
 <I_am_so_grateful ~emothanks
 <I_am_so_sorry ~emoapology
 <I_am_sorry ~emoapology
 <I_am_sorry_,_I_did_not_understand ~emomisunderstand
 <I_am_sorry_I_did_not_understand ~emomisunderstand
 <I_am_sure> ~yes
 <I_am_uncertain> ~emomaybe
 <I_am_very_grateful ~emothanks
 <I_am> ~yes
 <I_can_believe_it> ~yes
 <I_can_believe_that> ~yes
 <I_can_imagine_it> ~emomaybe
 <I_can_not_thank_you_enough ~emothanks
 <I_can_see_that> ~yes
 <I_can_try> ~yes
 <I_consent ~yes
 <I_could_not_agree_with_you_more ~yes
 <I_could_not_disagree_more ~no
 <I_did_not_quite_catch_that ~emomisunderstand
 <I_did_not_understand ~emomisunderstand
 <I_did> ~yes
 <I_disagree ~no
 <I_do_also> ~emomutual
 <I_do_apologise ~emoapology
 <I_do_apologize ~emoapology
 <I_apologise ~emoapology
 <I_apologize ~emoapology
 <I_do_not_agree ~no
 <I_do_not_believe_it> ~no
 <I_do_not_believe_so ~no
 <I_do_not_believe_you> ~no
 <I_do_not_get_it ~emomisunderstand
 <I_do_not_know_if_it_is_true_or_not ~emomaybe
 <I_do_not_know_if_that_is_true_or_not ~emomaybe
 <I_do_not_know> ~emoignorance
 <I_do_not_quite_follow_you ~emomisunderstand
 <I_do_not_think_so ~no
 <I_do_not_understand ~emomisunderstand
 <I_do_not_understand_that ~emomisunderstand
 <I_do_not_want_to> ~no
 <I_do_not> ~no
 <I_do> ~yes
 <I_dont_think_so ~no
 <I_doubt_it ~no
 <I_give_consent ~yes
 <I_give_my_consent ~yes
 <i_guess> ~yes
 <I_have_no_idea ~emoignorance
 <I_have_no_objection ~yes
 <I_have_to_leave_you> ~emogoodbye
 <I_have_to_run ~emogoodbye
 <I_just_do_not_get_it ~no
