 nvm nevermind
 tmi too+much+information
 tbh to+be+honest
 <cos? why+?
 pwn dominate
 bbl be+back+later
 ic I+see
 idc I+do+not+care
 h4wt sexy
 idk I+do+not+know
 ofc of+course 
 doodz dudes
 d0xxes document
 d0x document
 thx thanks
 <ur you+are
 1337_sp34k 'leet+speak
 2_b to+be
 4eva forever
 4ever forever
 afaik as+far+as+I+know
 b4 before
 bbf best+boyfriend
 bcoz because
 bf boyfriend
 bff best+female+friend
 brb be+right+back
 btw by+the+way
 c_u see+you
 coz because
 hbu how+about+you
 hv have
 ik I+know
 luv love
 me_2 me+too
 plz please
 tmr tomorrow
 tnx thanks
 ur your
 urs yours
 urself yourself
 wats what+is
 y_do why+do
