 l' le
 c' ce
 d' de
 j' je
 m' me
 n' ne
 qu' que
 s' se
 t' te
 puisqu'on puisque+on
 puisqu'il puisque+il 
 lorsqu'on lorsque+on 
 lorsqu'il lorsque+il 
 jusqu'à jusque+à
 jusqu'en jusque+en
 jusqu'alors jusque+alors
 jusqu'ici jusque+ici
 au à+le
 aux à+les
 du de+le
 des de+les
 auquel à+lequel
 auxquels à+lesquels
 auxquelles à+lesquelles
 duquel de+lequel
 desquels de+lesquels
 desquelles de+lesquelles
 s'il-te-plaît si+il+te+plaît
 s'il_te_plaît si+il+te+plaît
 s'il-te-plait si+il+te+plaît
 s'il_te_plait si+il+te+plaît
 s'il-vous-plaît si+il+vous+plaît
 s'il_vous_plaît si+il+vous+plaît
 s'il-vous-plait si+il+vous+plaît
 s'il_vous_plait si+il+vous+plaît
