# WORD_NUMBER is a word that implies a number value, like dozen
# ORDINAL_NUMBER is word_number and a real number that is a place number like first, second, etc
# REAL_NUMBER is a word that directly represents a number, like two
# FRACTION_NUMBER is a word that implies a faction value like half

premier 1 ORDINAL_NUMBER
première	1 ORDINAL_NUMBER
deuxième 2 ORDINAL_NUMBER
second  2 ORDINAL_NUMBER
second2  2 ORDINAL_NUMBER
troisième	 3 ORDINAL_NUMBER
quatrième	 4 ORDINAL_NUMBER
cinquième	 5 ORDINAL_NUMBER
sixième	 6 ORDINAL_NUMBER
septième	 7 ORDINAL_NUMBER
huitième	 8 ORDINAL_NUMBER
neuvième	 9 ORDINAL_NUMBER
dixième	 10 ORDINAL_NUMBER
	 onzième  11   ORDINAL_NUMBER


	 zéro  0 REAL_NUMBER   
	 zero  0  REAL_NUMBER   
	 un  1  REAL_NUMBER   
	 une  1  WORD_NUMBER    
	 mono  1  WORD_NUMBER    
	 uni  1  WORD_NUMBER    
	 one  1  WORD_NUMBER    
	 deux  2  REAL_NUMBER   
	 double  2  WORD_NUMBER    
	 bi  2 WORD_NUMBER    
	 paire  2  WORD_NUMBER    
	 moitié  2  FRACTION_NUMBER   
	 demi  2  FRACTION_NUMBER   
	 two  2  WORD_NUMBER    
	 trois  3  REAL_NUMBER   
	 triple  3  WORD_NUMBER    
	 tiers  3  FRACTION_NUMBER   
	 three  3  WORD_NUMBER    
	 III  3  WORD_NUMBER    
	 quatre  4  REAL_NUMBER   
	 quart  4  FRACTION_NUMBER   
	 four  4  WORD_NUMBER    
	 IV  4  WORD_NUMBER    
	 cinq  5  REAL_NUMBER   
	 five  5  WORD_NUMBER    
	 V  5  WORD_NUMBER    
	 six  6  REAL_NUMBER   
	 VI  6  WORD_NUMBER    
	 sept  7  REAL_NUMBER   
	 seven  7  WORD_NUMBER    
	 VII  7  WORD_NUMBER    
	 huit  8  REAL_NUMBER   
	 eight  8  WORD_NUMBER    
	 VIII  8  WORD_NUMBER    
	 neuf  9  REAL_NUMBER   
	 nine  9  WORD_NUMBER    
	 IX  9  WORD_NUMBER    
	 dixième  10  WORD_NUMBER  
	  dizaine  10  WORD_NUMBER   
	 ten  10  WORD_NUMBER   
	 X  10  WORD_NUMBER    
	 onze  11  REAL_NUMBER   
	  XI  11  WORD_NUMBER    
	 douze  12  REAL_NUMBER    
	 douzième  12  ORDINAL_NUMBER    
	 douzaine  12  WORD_NUMBER    
	 XII  12  WORD_NUMBER   
	 treize  13  REAL_NUMBER   
	 treizième  13  ORDINAL_NUMBER   
	 XIII  13  WORD_NUMBER   
	 quatorze  14  REAL_NUMBER   
	 quatorzième  14  ORDINAL_NUMBER   
	 XIV  14  WORD_NUMBER   
	 quinze  15  REAL_NUMBER   
	 quinzième  15  ORDINAL_NUMBER   
	 XV  15  WORD_NUMBER   
	 seize  16  REAL_NUMBER   
	 seizième  16  ORDINAL_NUMBER   
	 XVI  16  WORD_NUMBER   
	 dix-sept  17  REAL_NUMBER   
	 dix-septième  17  ORDINAL_NUMBER   
	 XVII  17   WORD_NUMBER   
	 dix-huit  18 REAL_NUMBER   
	 dix-huitième  18  ORDINAL_NUMBER   
	 XVIII  18  WORD_NUMBER   
	 dix-neuf  19  REAL_NUMBER   
	 dix-neuvième  19 ORDINAL_NUMBER   
	 XIX  19   WORD_NUMBER   
	 vingt  20  REAL_NUMBER   
	 vingtième  20  ORDINAL_NUMBER   
	 XX  20   WORD_NUMBER   
	 trente  30  REAL_NUMBER   
	 trentième  30  ORDINAL_NUMBER   
	 quarante  40 REAL_NUMBER   
	 quarantième  40  ORDINAL_NUMBER   
	 cinquante  50  REAL_NUMBER   
	 cinquantième  50  ORDINAL_NUMBER   
	 soixante  60 REAL_NUMBER   
	 soixantième  60 ORDINAL_NUMBER   
	 soixante-dix  70  REAL_NUMBER   
	 septante  70  REAL_NUMBER   
	 soixante-dixième  70    ORDINAL_NUMBER 
	 quatre-vingt  80  REAL_NUMBER   
	 octante  80 REAL_NUMBER   
	 quatre-vingtième  80  ORDINAL_NUMBER   
	 quatre-vingt-dix  90  REAL_NUMBER   
	 nonante  90  REAL_NUMBER   
	 quatre-vingt-dixième  90 ORDINAL_NUMBER   
	 cent  100  REAL_NUMBER   
	 cents  100  REAL_NUMBER   
	 centième  100 ORDINAL_NUMBER   
	 centaine  100   WORD_NUMBER   
	 centaines  100   WORD_NUMBER   
	 mille  1000  REAL_NUMBER   
	 millième  1000    ORDINAL_NUMBER
	 millier  1000   WORD_NUMBER   
	 million  1000000  REAL_NUMBER   
	 millions  1000000 REAL_NUMBER   
	 millionième  1000000  ORDINAL_NUMBER   
	 milliard  1000000000  REAL_NUMBER   
	 milliards  1000000000  REAL_NUMBER   
	 milliardième  1000000000  ORDINAL_NUMBER   
