##<<FRENCH
concept: ~numberoperator()
table: ~numberOperator (^op ^iop)
^createfact(^op member ~numberOperator)
^createfact(^iop inverse ^op)
DATA:

# have to quote * because otherwise it means ignore- ^ must appear after remainder line, to not look like a script command
reste ajouter
Mod ajouter
Modulo ajouter
- plus
/ multiplier
% multiplier
quotient multiplier
\* diviser
X diviser
exposant racine_carrée
puissance racine_carrée
^ racine
plus moins
moins plus
soustraire ajouter
sous ajouter
déduire ajouter
multiplier diviser
fois diviser
diviser fois_moins
ajouter moins
à_emporter ajouter


# a lot of these are *not* valid
table: ~opposites (^arg1 ^arg2) # makes bi-directional so dont have to list both ways here
^createfact(^arg1 opposite ^arg2 0)
^createfact(^arg2 opposite ^arg1 0)
DATA:
prod dével
production développement
sourire "froncer les sourcils"
grand court
enregistrer dépenser
artefact "objet naturel"
"manque de performance" survie
disparition apparence
"mouvement vers le avant" "battre en retraite"
embarquement débarquement
échouer qualification
"option de vente" "option de appel"
pire meilleur
"ballon malin" "boule équitable"
contraction desserrage
"la démonetisation" "la monétisation"
"billet direct" "billet fractionné"
"course non acquise" "course gagnée"
rétrogradation promotion
commencement finition
"naissance vivante" "avortement spontané"
activation désactivation
décontamination contamination
"trottement assis" "trot ascensionnel"
"vol international" "vol national"
ralentissement accélération
fermeture ouverture
pronation supination
augmenter diminution
maximisation minimisation
décompression compression
"une addition" soustraction
inflation déflation
renforcement affaiblissement
concentration dilution
dépréciation appréciation
élargissement contraction
flexion extension
désunion unification
détribalisation "la tribulation"
rétrécissement élargissement
inactivité activité
"jeu de nuit" "jeu de jour"
"jeu lointain" "jeu à la maison"
"jeu de softball" hardball
volée "coup de masse"
"chirurgie mineure" "une intervention chirurgicale majeure"
homéopathie allopathie
déchargement chargement
"péché originel" "le péché réel"
"le péché véniel" "péché mortel"
"petit larcin" "grand larcin"
hypopnée hyperpnée
"accouplement désassistant" "accouplement assortitif"
approuvant désapprobation
démantèlement fabrication
assemblage démantèlement
arrêt continuation
prolifération non-prolifération
ramener downtick
"de gros" "vente au détail"
non-paiement rémunération
décriminalisation "la criminalisation"
désengagement affranchissement
déclassification classification
"la dénationalisation" nationalisation
démobilisation militarisation
désarmement équipement
déstabilisation stabilisation
non-conformité obéissance
"la coopération" compétition
conformation non-conformité
affirmation renversement
acquittement "jugement de conviction"
"jugement in rem" "jugement en personne"
"verdict spécial" "verdict général"
"exception péremptoire" "poursuites pénales"
déségrégation séquestration
non-conformité conformation
non-observation observance
service "un service"
non-assistance présence
absence présence
décentralisation centralisation
"non participation" participation
mâle femelle
hôte parasite
procaryote ekaryote
"poisson épineux" "poisson à ailettes douces"
"oiseau cariné" "oiseau incapable de voler"
"reptile diapside" "reptile anapside"
"dabbling canard" "canard de plongée"
"pied hétérodactyle" "pied zygodactyle"
"ongle à ongles" "mammifère périssodactyle"
"patère homocercale" hétérocéreuse
"mammifère digitigrade" "planifier le mammifère"
"basso relievo" "alto relievo"
cathode anode
synergiste antagoniste
outfield "diamant de baseball"
blanc noir
"fichier effilé" "fichier brutal"
"médicament générique" "drogue exclusive"
"circuit ouvert" "circuit fermé"
"prêt à le emploi" "sur mesure"
"serveur de fichiers non dédié" "serveur de fichiers dédié"
"thermomètre à bulbe humide" "thermomètre à bulbe à sec"
"mouche mouillée" "mouche sèche"
"bombe intelligente" "bombe de gravité"
"pile galvanique" "cellule électrolytique"
importation exportation
local express
"voie lente" "voie rapide"
"réacteur thermique" "réacteur rapide"
arrière "de face"
"tondeuse électrique" "tondeuse à main"
"drogue douce" "drogue dure"
logiciel "matériel informatique"
queue tête
hors-panier "dans le panier"
tribord bâbord
studio emplacement
stable mobile
"stockage volatil" "stockage non volatile"
"sens inverse" face
incontournable "vêtement extérieur"
