
##<<GERMAN 
concept: ~numberoperator()
table: ~numberOperator (^op ^iop) 
^createfact(^op member ~numberOperator)
^createfact(^iop inverse ^op)
DATA:

# have to quote * because otherwise it means ignore- ^ must appear after remainder line, to not look like a script command
Rest Add \n mod Add \n Modulo add \n  - Plus \n  / multiplizieren  \n % multiplizieren \n Quotient multiplizieren 
\* Teilen \n x divide \n Exponent "Quadratwurzel" \n Macht "Quadratwurzel" 

^ Wurzel  \n  Plus minus \n minus plus \n subtrahieren hinzufügen  \n Unter add  \n Vorsteuerabzugs hinzufügen \n multiplizieren dividieren 
mal divide \n divide Zeiten \n + minus \n addieren minus 
"Take away" hinzufügen \n


table: ~opposites (^arg1 ^arg2) # makes bi-directional so dont have to list both ways here
^createfact(^arg1 opposite ^arg2 0)
^createfact(^arg2 opposite ^arg1 0)
DATA:
prod devel
Produktion Entwicklung
Lächeln Stirnrunzeln
hoch kurz
sparen verbringen
Artefakt "natürliches Objekt"
"schwache Leistungen" Übererfüllung
Verschwinden "das Auftreten"
Vorwärtsbewegung Rückzug
Einschiffung Ausschiffung
Versagen Qualifikation
Put-Option Call-Option
"am schlimmsten" Beste
"Foul Ball" "Fair Ball"
Anziehen Lockerung
Demonetisierung Monetisierung
"gerade Ticket" Split-Ticket
"unearned Lauf" "abgegrenztes laufen"
Degradierung Beförderung
Beginn Finishing
Lebendgeburt Spontanabort
Aktivierung Deaktivierung
Dekontamination Kontamination
"sitzend Trab" "steigenden Trab"
"internationaler Flug" Inlandsflug
Verzögerung Beschleunigung
Schließung Öffnung
Pronation Supination
"erhöhen, ansteigen" Verminderung
Maximierung Minimierung
Dekompression Kompression
Zusatz Subtraktion
Inflation Deflation
Stärkung Schwächung
Konzentration Verdünnung
Abschreibung Anerkennung
Erweiterung Kontraktion
Flexion Erweiterung
Entzweiung Vereinigung
detribalization Tribalisierung
Verengung Erweiterung
Inaktivität Aktivität
Nacht-Spiel "Tag Spiel"
Auswärtsspiel Heimspiel
Softball-Spiel "mit harten Bandagen"
Volley "Boden Schlaganfall"
"kleiner Eingriff" "Große Operation"
Homöopathie Allopathie
Entladung Laden
Erbsünde "wirkliche Sünde"
"lässliche Sünde" Todsünde
"petit Diebstahls" "schwerer Diebstahl"
Hypopnoe Hyperpnoe
"disassortative Paarung" Paarungssiebung
Genehmigung Missbilligung
dismantlement Herstellung
Montage dismantlement
Einstellung Fortsetzung
Proliferation Nichtverbreitung
uptick downtick
Großhandel Verkauf
Nichtzahlung defrayment
Entkriminalisierung Kriminalisierung
Entrechtung enfranchisement
Freigabe Einstufung
Entstaatlichung Verstaatlichung
Demobilisierung Militarisierung
Abrüstung Ausrüstung
Destabilisierung Stabilisierung
Nichteinhaltung Gehorsam
Zusammenarbeit Wettbewerb
Konformation Nichteinhaltung
Bejahung Umkehrung
Freispruch Schuldspruch
"Urteil rem" "Urteil in personam"
"Sonder Urteil" "allgemeine Urteil"
Rechtseinwand Strafverfolgung
"Aufhebung der Rassentrennung" Sequestrierung
nonconformance Konformation
Nichtbeachtung Beachtung
ill-Service Bedienung
Nichterscheinen Teilnahme
Abwesenheit Gegenwart
Dezentralisierung Zentralisierung
Nichtteilnahme Beteiligung
männlich weiblich
Gastgeber Parasit
Prokaryonten Eukaryoten
"stachelig-gerippten Fisch" "Weichflosser Fisch"
"carinate Vogel" "flugunfähiger Vogel"
"Diapsida Reptil" "Anapsida Reptil"
"Dilettantismus Ente" "Tauchen Ente"
"heterodactyl Fuß" "zygodactyl Fuß"
Paarhufer "perissodactyl Säugetier"
"homocercal fin" "heterozerk fin"
"digitigrade Säugetier" "plantigrade Säugetier"
"basso relievo" "Alt relievo"
Kathode Anode
Synergisten Antagonist
Außenfeld Baseball-Diamant
