##<<SPANISH 
concept: ~numberoperator()
table: ~numberOperator (^op ^iop) 
^createfact(^op member ~numberOperator)
^createfact(^iop inverse ^op)
DATA:

# have to quote * because otherwise it means ignore- ^ must appear after remainder line, to not look like a script command
recordatorio añadir 
mod añadir 
Modulo añadir 
- más 
/ multiplicar 
% multiplicar 
cociente multiplicar 
\* dividir 
x dividir 
exponente "raíz cuadrada" 
poder "raíz cuadrada" 
^ raíz 
más menos 
menos más 
sustraer añadir 
sub añadir 
deducir añadir 
multiplicar dividir 
veces dividir 
dividir veces  
+ menos 
añadir menos 
"para llevar" añadir


table: ~opposites (^arg1 ^arg2) # makes bi-directional so dont have to list both ways here
^createfact(^arg1 opposite ^arg2 0)
^createfact(^arg2 opposite ^arg1 0)
DATA:
pinchar Devel
producción desarrollo
sonreír "fruncir el ceño"
alto corto
salvar gastar
artefacto "Objeto natural"
"Bajo rendimiento" "Exceso de rendimiento"
desaparición apariencia
"movimiento hacia adelante" retirada
embarque desembarco
defecto calificativo
"poner opción" "opción de llamada"
peor mejor
"Bola de foul" "Pelo justo"
Endurecimiento Aflojamiento
desmonetización Monetización
"Billete recto" "Billete dividido"
"Carrera no ganada" "Carrera ganada"
degradación promoción
comienzo refinamiento
"Nacimiento vivo" "aborto espontáneo"
activación desactivación
descontaminación contaminación
"Trote sentado" "Trote creciente"
"Vuelo internacional" "vuelo doméstico"
desaceleración aceleración
Cerrando apertura
pronación Supinación
incrementar disminución
maximización minimización
descompresión compresión
adición sustracción
inflación deflación
fortalecimiento debilitación
concentración dilución
depreciación apreciación
ampliación contracción
flexión extensión
desunión unificación
Detribalización Tribalización
estrechamiento Ampliación
inactividad actividad
"Noche juego" "Día juego"
"Lejos juego" "Juego en casa"
"Softball juego" Duro
voleo "golpe seco"
"cirugía menor" "cirujía importante"
homeopatía alopatía
descarga cargando
"el pecado original" "Pecado real"
"Pecado venial" "pecado mortal"
"Pequeño hurto" "Gran hurto"
Hipopnea Hiperpnea
"Apareamiento desastroso" "Emparejamiento selectivo"
aprobatorio desaprobación
desmantelamiento fabricación
montaje desmantelamiento
discontinuación continuación
proliferación "no proliferación"
Aumento "Downtick traducción espanol"
"al por mayor" "Al por menor"
"falta de pago" pago
Despenalización Criminalización
"Privación de derechos" emancipación
Desclasificación clasificación
Desnacionalización nacionalización
desmovilización militarización
desarmamiento Equipamiento
desestabilización estabilización
incumplimiento obediencia
cooperación competencia
conformación incumplimiento
afirmación inversión
absolución "Juicio de convicción"
"Juicio in rem" "Juicio en persona"
"Veredicto especial" "Veredicto general"
Demurrer "enjuiciamento criminal"
desegregación secuestro
"no conformidad" conformación
incumplimiento observancia
"Mal servicio" Servicio
"falta de asistencia" asistencia
ausencia presencia
descentralización centralización
"no participación" participación
masculino hembra
anfitrión parásito
Procariota Eucariota
"Pez espinosa" "Pescado de aleta blanda"
"Pájaro carinate" "AVE no voladora"
"Reptil diapsido" "Reptil anapsid"
Pato "Pato de buceo"
"Pie heterodáctilo" "Zygodactyl pie"
"Ungulado igualado" "Perissodáctilo mamífero"
"Aleta homocercal" "Aleta heterocercal"
"Mamífero digitigrade" "Mamífero plantigrado"
"Basso relievo" "Alto relievo"
cátodo ánodo
Sinergista antagonista
"Fuera del campo" "diamante de beisbol"
blanco negro
"Archivo cónico" "Archivo contundente"
"droga generica" "Droga propietaria"
"circuito abierto" "circuito cerrado"
confeccionado Personalizado
"Servidor de archivos no dedicado" "Servidor de archivos dedicado"
"Termómetro de bulbo húmedo" "Termómetro de bulbo seco"
"Mosca húmeda" "Mosca seca"
"Bomba inteligente" "Bomba de gravedad"
"célula galvánica" "Célula electrolítica"
importación exportación
local exprimir
"Carril lento" "carril rápido"
"Reactor térmico" "Reactor rápido"
