arg1 sensekey,arg1 offset,relation,arg2 sensekey,arg2 offset
aircraft%1:06:00::,102686568,action,fly%2:38:00::,201940403
aircraft%1:06:00::,102686568,action,transport%2:38:00::,201953810
aircraft%1:06:00::,102686568,theme,passenger%1:18:00::,110403876
aircraft%1:06:00::,102686568,theme,cargo%1:06:00::,102964389
aircraft%1:06:00::,102686568,agent,pilot%1:18:00::,110433164

alarm%1:06:00::,102694426,action,alarm%2:32:00::,200872414
alarm%1:06:00::,102694426,action,alert%2:32:00::,200872414
alarm%1:06:00::,102694426,action,ring%2:39:00::,202180898
alarm%1:06:00::,102694426,cause,danger%1:26:00::,114540765
alarm%1:06:00::,102694426,result,alarm%1:10:00::,106803157
alarm%1:06:00::,102694426,result,alert%1:26:00::,114031660

alarm%1:06:01::,102694662,action,clock%2:30:00::,200490968
alarm%1:06:01::,102694662,action,time%2:30:00::,200490968
alarm%1:06:01::,102694662,action,awaken%2:29:00::,200018813
alarm%1:06:01::,102694662,action,wake%2:29:02::,200018813
alarm%1:06:01::,102694662,action,waken%2:29:01::,200018813
alarm%1:06:01::,102694662,undergoer,sleeper%1:18:00::,110610465
alarm%1:06:01::,102694662,theme,time%1:03:00::,100028270
alarm%1:06:01::,102694662,result,clock_time%1:28:00::,115129927

album%1:10:00::,106591815,action,play%2:36:11::,201717436
album%1:10:00::,106591815,theme,recording%1:06:00::,104063661
album%1:10:00::,106591815,result,music%1:09:01::,105718935
album%1:10:00::,106591815,instrument,phonograph%1:06:01::,104064401
album%1:10:00::,106591815,beneficiary,listener%1:18:00::,110165448

ambulance%1:06:00::,102701002,action,transport%2:35:00::,201449974
ambulance%1:06:00::,102701002,theme,patient%1:18:00::,110405694
ambulance%1:06:00::,102701002,cause,injury%1:26:00::,114285662
ambulance%1:06:00::,102701002,destination,hospital%1:06:00::,103540595

apparatus%1:06:00::,102727825,action,serve%2:42:03::,202670890
apparatus%1:06:00::,102727825,action,perform%2:36:00::,201712704
apparatus%1:06:00::,102727825,result,work%1:04:00::,100575741

aquarium%1:06:00::,102732072,action,house%2:42:02::,202701828
aquarium%1:06:00::,102732072,undergoer,water%1:13:00::,107935504
aquarium%1:06:00::,102732072,beneficiary,fish%1:05:00::,102512053

armchair%1:06:00::,102738535,action,seat%2:42:00::,202701962
armchair%1:06:00::,102738535,beneficiary,sitter%1:18:01::,110603959

arrow%1:06:00::,102742753,action,pierce%2:35:00::,201441100
arrow%1:06:00::,102742753,action,hit%2:35:01::,201236164
arrow%1:06:00::,102742753,action,shoot%2:33:01::,201137138
arrow%1:06:00::,102742753,instrument,bow%1:06:01::,102879718
arrow%1:06:00::,102742753,undergoer,target%1:10:00::,107262108
arrow%1:06:00::,102742753,result,wound%1:26:00::,114298815


suitcase%1:06:00::,102773838,action,contain%2:42:13::,202700867
suitcase%1:06:00::,102773838,action,transport%2:35:00::,201449974
suitcase%1:06:00::,102773838,theme,belongings%1:21:00::,113244109
suitcase%1:06:00::,102773838,theme,clothes%1:06:00::,102728440
suitcase%1:06:00::,102773838,beneficiary,traveller%1:18:00::,109629752
suitcase%1:06:00::,102773838,cause,travel%1:04:00::,100295701

purse%1:06:00::,102774152,action,contain%2:42:13::,202700867
purse%1:06:00::,102774152,theme,belongings%1:21:00::,113244109
purse%1:06:00::,102774152,theme,money%1:21:00::,113384557
purse%1:06:00::,102774152,beneficiary,wearer%1:18:00::,110771809

ball%1:06:01::,102778669,action,hit%2:35:03::,201405044
ball%1:06:01::,102778669,action,throw%2:35:00::,201508368
ball%1:06:01::,102778669,action,kick%2:35:01::,201371756
ball%1:06:01::,102778669,action,catch%2:35:00::,201439190
ball%1:06:01::,102778669,agent,player%1:18:01::,110439851
ball%1:06:01::,102778669,location,game%1:04:00::,100455599
ball%1:06:01::,102778669,location,sport%1:04:00::,100523513

bar%1:06:00::,102788689,action,block%2:35:00::,201478002
bar%1:06:00::,102788689,location,opening%1:17:00::,109379111

bar%1:06:00::,102788689,action,hit%2:35:00::,201400044
bar%1:06:00::,102788689,agent,attacker%1:18:00::,109821253
bar%1:06:00::,102788689,undergoer,opponent%1:18:00::,109773245
bar%1:06:00::,102788689,result,injury%1:26:00::,114285662

bar%1:06:09::,102790154,action,support%2:35:00::,201217043
bar%1:06:09::,102790154,action,perform%2:36:01::,201714208
bar%1:06:09::,102790154,agent,gymnast%1:18:00::,110153594
bar%1:06:09::,102790154,theme,routine%1:10:01::,106892016
bar%1:06:09::,102790154,location,gym%1:06:00::,103472112

barrel%1:06:00::,102795169,action,hold%2:42:13::,202700867
barrel%1:06:00::,102795169,theme,content%1:14:00::,107955057

stand%1:06:00::,102797692,action,support%2:35:00::,201217043
stand%1:06:00::,102797692,theme,object%1:03:00::,100002684

basket%1:06:00::,102801938,action,hold%2:42:13::,202700867
basket%1:06:00::,102801938,theme,content%1:14:00::,107955057
basket%1:06:00::,102801938,theme,solid%1:27:04::,115046900

tub%1:06:01::,102808440,action,bathe%2:29:01::,200037919
tub%1:06:01::,102808440,action,soak%2:35:01::,201578513
tub%1:06:01::,102808440,agent,bather%1:18:01::,109843602
tub%1:06:01::,102808440,location,bathroom%1:06:00::,102807731
tub%1:06:01::,102808440,result,cleanness%1:26:00::,114496193
tub%1:06:01::,102808440,instrument,water%1:13:00::,107935504

battery%1:06:00::,102810471,action,power%2:34:00::,201181559
battery%1:06:00::,102810471,result,electricity%1:19:01::,111450566

beam%1:06:00::,102815950,action,build%2:36:00::,201654628
beam%1:06:00::,102815950,agent,worker%1:18:00::,109632518
beam%1:06:00::,102815950,result,construction%1:06:00::,104341686
beam%1:06:00::,102815950,instrument,tool%1:06:00::,104451818

bed%1:06:00::,102818832,action,sleep%2:29:00::,200014742
bed%1:06:00::,102818832,agent,sleeper%1:18:00::,110610465
bed%1:06:00::,102818832,location,bedroom%1:06:00::,102821627
bed%1:06:00::,102818832,cause,sleepiness%1:26:00::,114030435
bed%1:06:00::,102818832,result,sleep%1:26:00::,114024882

bed%1:06:00::,102818832,action,rest%2:32:00::,200779360
bed%1:06:00::,102818832,agent,rester%1:18:00::,110524973
bed%1:06:00::,102818832,location,bedroom%1:06:00::,102821627
bed%1:06:00::,102818832,cause,tiredness%1:26:00::,114016361
bed%1:06:00::,102818832,result,rest%1:04:00::,101064148

bed%1:06:00::,102818832,action,rest%2:32:00::,200779360
bed%1:06:00::,102818832,agent,rester%1:18:00::,110524973
bed%1:06:00::,102818832,location,bedroom%1:06:00::,102821627
bed%1:06:00::,102818832,cause,tiredness%1:26:00::,114016361
bed%1:06:00::,102818832,result,rest%1:04:00::,101064148

bell%1:06:02::,103222516,action,ring%2:39:01::,202181538
bell%1:06:02::,103222516,action,push%2:38:00::,201871979
bell%1:06:02::,103222516,agent,visitor%1:18:00::,110757193
bell%1:06:02::,103222516,location,door%1:06:00::,103221720
bell%1:06:02::,103222516,destination,host%1:18:02::,110187130

bench%1:06:00::,102828884,action,sit%2:35:00::,201543123
bench%1:06:00::,102828884,agent,occupant%1:18:00::,110523519

workbench%1:06:00::,104600486,action,work%2:41:02::,202413480
workbench%1:06:00::,104600486,agent,worker%1:18:00::,109632518
workbench%1:06:00::,104600486,location,workroom%1:06:00::,104602762

bike%1:06:02::,103790512,action,ride%2:38:00::,201955984
bike%1:06:02::,103790512,action,transport%2:38:00::,201953810
bike%1:06:02::,103790512,agent,rider%1:18:02::,110530150
bike%1:06:02::,103790512,location,outdoors%1:15:00::,108613733

bin%1:06:00::,102839910,action,hold%2:42:13::,202700867
bin%1:06:00::,102839910,action,store%2:40:02::,202282506
bin%1:06:00::,102839910,theme,content%1:14:00::,107955057

blade%1:06:00::,102848216,action,cut%2:35:00::,201552519

boat%1:06:00::,102858304,action,sail%2:38:03::,201846658
boat%1:06:00::,102858304,action,boat%2:38:00::,201944692
boat%1:06:00::,102858304,agent,sailor%1:18:00::,110546633
boat%1:06:00::,102858304,agent,boater%1:18:00::,109861946
boat%1:06:00::,102858304,destination,shore%1:17:00::,109433442
boat%1:06:00::,102858304,destination,land%1:17:00::,109334396
boat%1:06:00::,102858304,source,shore%1:17:00::,109433442
boat%1:06:00::,102858304,source,land%1:17:00::,109334396
boat%1:06:00::,102858304,location,water%1:17:00::,109225146

boat%1:06:00::,102858304,action,transport%2:38:00::,201953810
boat%1:06:00::,102858304,agent,sailor%1:18:00::,110546633
boat%1:06:00::,102858304,agent,boater%1:18:00::,109861946
boat%1:06:00::,102858304,theme,passenger%1:18:00::,110403876
boat%1:06:00::,102858304,destination,shore%1:17:00::,109433442
boat%1:06:00::,102858304,destination,land%1:17:00::,109334396
boat%1:06:00::,102858304,source,shore%1:17:00::,109433442
boat%1:06:00::,102858304,source,land%1:17:00::,109334396
boat%1:06:00::,102858304,location,water%1:17:00::,109225146

bolt%1:06:00::,102865665,action,fasten%2:35:01::,201340439
bolt%1:06:00::,102865665,instrument,wrench%1:06:00::,104606574

bomb%1:06:00::,102866578,action,destroy%2:36:00::,201619929
bomb%1:06:00::,102866578,action,explode%2:30:01::,200306723
bomb%1:06:00::,102866578,agent,bomber%1:18:00::,109864536
bomb%1:06:00::,102866578,undergoer,target%1:15:00::,108660934
bomb%1:06:00::,102866578,cause,conflict%1:04:00::,100958896

bomber%1:06:00::,102867715,action,bomb%2:33:00::,201131902
bomber%1:06:00::,102867715,agent,pilot%1:18:00::,110433164
bomber%1:06:00::,102867715,undergoer,target%1:15:00::,108660934
bomber%1:06:00::,102867715,theme,bomb%1:06:00::,102866578
bomber%1:06:00::,102867715,location,air%1:15:00::,108653314

hamper%1:06:01::,104181228,action,confine%2:35:01::,201301410
hamper%1:06:01::,104181228,agent,captor%1:18:00::,109609561
hamper%1:06:01::,104181228,theme,captive%1:18:00::,110476086

bottle%1:06:00::,102876657,action,hold%2:42:13::,202700867
bottle%1:06:00::,102876657,theme,liquid%1:27:04::,114940386

freighter%1:06:00::,102878222,action,transport%2:38:00::,201953810
freighter%1:06:00::,102878222,agent,merchant%1:18:00::,110309896
freighter%1:06:00::,102878222,theme,cargo%1:06:00::,102964389
freighter%1:06:00::,102878222,destination,land%1:17:00::,109334396
freighter%1:06:00::,102878222,source,land%1:17:00::,109334396
freighter%1:06:00::,102878222,location,water%1:17:00::,109225146

bow%1:06:01::,102879718,action,shoot%2:35:01::,201597286
bow%1:06:01::,102879718,agent,archer%1:18:00::,109805324
bow%1:06:01::,102879718,destination,target%1:10:00::,107262108
bow%1:06:01::,102879718,theme,arrow%1:06:00::,102742753

bowl%1:06:01::,102881193,action,hold%2:42:13::,202700867
bowl%1:06:01::,102881193,theme,object%1:03:00::,100002684
bowl%1:06:01::,102881193,theme,liquid%1:27:04::,114940386

box%1:06:00::,102883344,action,hold%2:42:13::,202700867
box%1:06:00::,102883344,theme,object%1:03:00::,100002684

brake%1:06:00::,102889425,action,slow%2:30:05::,200440786
brake%1:06:00::,102889425,action,stop%2:38:00::,201860795
brake%1:06:00::,102889425,agent,operator%1:18:00::,110378412
brake%1:06:00::,102889425,theme,vehicle%1:06:00::,104524313

