~vet_glean_symptoms.0.0  #! not the name
~vet_glean_symptoms.3.0  #! had a kitten 
~vet_glean_symptoms.4.0  #! urgency
~vet_glean_symptoms.5.0  #! kitten
~vet_glean_symptoms.6.0  #! puppy
~vet_glean_symptoms.7.0  #! adult
~vet_glean_symptoms.8.0  #! Age: 3
~vet_glean_symptoms.9.0  #! the age is 2
~vet_glean_symptoms.10.0  #! 5 years and 3 months
~vet_glean_symptoms.11.0  #! aged 1 and a half 
~vet_glean_symptoms.12.0  #! aged 1 and a quarter 
~vet_glean_symptoms.13.0  #! aged 1 and a quarter 
~vet_glean_symptoms.14.0  #! 5 months, 2 weeks
~vet_glean_symptoms.15.0  #! is 6 years old
~vet_glean_symptoms.16.0  #! my cat is two years old
~vet_glean_symptoms.16.0  #! my cat was born two years ago
~vet_glean_symptoms.17.0  #! She's a year old.
~vet_glean_symptoms.18.0=AGE  #! 15
~vet_glean_symptoms.19.0=AGE  #! my cat is almost 15 and going strong
~vet_glean_symptoms.20.0  #! my cat is  almost 2
~vet_glean_symptoms.21.0  #! 7 yo
~vet_glean_symptoms.22.0  #! will be 12 in december
~vet_glean_symptoms.23.0  #! 7 month old 
~vet_glean_symptoms.24.0  #! is urgent
~vet_glean_symptoms.25.0  #! it is a concern for me
~vet_glean_symptoms.27.0=OWNERSHIP  #! my cat is a stray 
~vet_glean_symptoms.28.0  #! the dog is my postman's
~vet_glean_symptoms.29.0  #! my dog
~vet_glean_symptoms.30.0  #! female cat
~vet_glean_symptoms.31.0  #! she 
~vet_glean_symptoms.32.0  #! he 
~vet_glean_symptoms.34.0  #! baby zebra
~vet_glean_symptoms.35.0=ANIMAL  #! my cat
~vet_glean_symptoms.36.0=ANIMAL1  #! i have a Persian
~vet_glean_symptoms.37.0=ANIMAL2  #! i have a Doberman
~vet_glean_symptoms.38.0=ANIMAL3  #! i have a cat
~vet_glean_symptoms.42.0=SYMPTOM  #! sneezing
~vet_glean_symptoms.43.0  #! drooling, there is always saliva
~vet_glean_symptoms.44.0=ATE  #! ate something bad
~vet_glean_symptoms.45.0=ATE  #! licked some Neosporin
~vet_glean_symptoms.46.0=ATE  #! got into Neosporin
~vet_glean_symptoms.47.0=POISON  #! poison
~vet_glean_symptoms.48.0  #! tears in his eyes
~vet_glean_symptoms.49.0  #! sores in his mouth
~vet_glean_symptoms.50.0  #! fever
~vet_glean_symptoms.51.0  #! sores
~vet_glean_symptoms.52.0  #! eyes yesterday and now are closed and crusty
~vet_glean_symptoms.53.0  #! swollen
~vet_glean_symptoms.54.0  #! crying
~vet_glean_symptoms.55.0  #! seizure
~vet_glean_symptoms.56.0  #! won't get out of bed/crate/kennel/nest
~vet_glean_symptoms.57.0  #! stays inside
~vet_glean_symptoms.58.0  #! thirsty
~vet_glean_symptoms.59.0  #! drink
~vet_glean_symptoms.60.0  #! bringing in dead birds all week
~vet_glean_symptoms.61.0  #! fever
~vet_glean_symptoms.62.0  #! vomiting
~vet_glean_symptoms.63.0  #! burn
~vet_glean_symptoms.64.0  #! not hungry
    ~vet_glean_symptoms.64.1  #! less
    ~vet_glean_symptoms.64.2  #! more
~vet_glean_symptoms.65.0  #! lameness
~vet_glean_symptoms.68.0  #! lumps
~vet_glean_symptoms.69.0  #! epilepsy
~vet_glean_symptoms.70.0  #! pain
~vet_glean_symptoms.71.0  #! shakes
~vet_glean_symptoms.72.0  #! losing hair
~vet_glean_symptoms.73.0  #! walking funny
~vet_glean_symptoms.74.0  #! smelly breath
~vet_glean_symptoms.75.0  #! breath stinks
~vet_glean_symptoms.76.0  #! cat stinks
~vet_glean_symptoms.77.0  #! cough
~vet_glean_symptoms.78.0  #! cut
~vet_glean_symptoms.79.0  #! scab spot
~vet_glean_symptoms.80.0  #! cut
~vet_glean_symptoms.81.0  #! it doesnt breath
~vet_glean_symptoms.82.0  #! runny nose
~vet_glean_symptoms.83.0  #! E-coli
